id	0_seqid	1_start	2_end	3_strand	4_length	5_type	6_Note	Mutant1_M2-count	Mutant1_M2-rpkm	Mutant1_M3-count	Mutant1_M3-rpkm	Mutant1_M4-count	Mutant1_M4-rpkm	Mutant2_M1-count	Mutant2_M1-rpkm	Mutant2_M2-count	Mutant2_M2-rpkm	Mutant2_M3-count	Mutant2_M3-rpkm	Mutant2_M4-count	Mutant2_M4-rpkm	Mutant3_M3-count	Mutant3_M3-rpkm	Mutant3_M4-count	Mutant3_M4-rpkm	Mutant3_M1-count	Mutant3_M1-rpkm	Mutant3_M2-count	Mutant3_M2-rpkm	WT_M1-count	WT_M1-rpkm	WT_M2-count	WT_M2-rpkm	WT_M3-count	WT_M3-rpkm	WT_M4-count	WT_M4-rpkm
gene1605	Contig_1.4	715194	715751	+	558	gene		47	8.78	59	7.89	106	11.62	38	4.11	31	3.83	45	5.06	37	4.27	40	6.31	34	4.75	82	7.07	56	6.62	116	10.38	64	6.55	68	8.89	50	7.92
gene1606	Contig_1.1	821735	825800	-	4066	gene		397	10.18	681	12.49	786	11.82	1213	17.99	825	13.97	1202	18.54	1121	17.74	693	14.99	709	13.60	1619	19.17	1056	17.13	1173	14.40	976	13.71	744	13.35	569	12.37
gene1607	Contig_1.4	717090	718312	+	1223	gene		38	3.24	70	4.27	111	5.55	65	3.20	35	1.97	77	3.95	56	2.95	63	4.53	64	4.08	128	5.04	61	3.29	144	5.88	66	3.08	50	2.98	46	3.32
gene1608	Contig_1.4	719681	721055	-	1375	gene		4	0.30	8	0.43	13	0.58	14	0.61	4	0.20	10	0.46	10	0.47	12	0.77	4	0.23	22	0.77	10	0.48	16	0.58	6	0.25	10	0.53	9	0.58
gene1609	Contig_1.4	723345	724949	+	1605	gene		165	10.72	235	10.92	517	19.70	78	2.93	50	2.14	67	2.62	59	2.36	42	2.30	63	3.06	194	5.82	161	6.62	469	14.59	346	12.32	87	3.96	194	10.69
gene1610	Contig_1.4	726695	727944	-	1250	gene		36345	3030.67	51240	3057.98	53017	2593.45	22260	1073.72	12390	682.46	25461	1277.25	27904	1436.00	31189	2194.84	35064	2188.61	30920	1190.67	19310	1018.78	53303	2129.21	39693	1814.13	21087	1230.91	32555	2302.29
gene1611	Contig_1.4	733030	733725	-	696	gene		507	75.93	639	68.49	507	44.54	735	63.67	535	52.93	653	58.83	625	57.77	224	28.31	306	34.30	761	52.63	697	66.04	949	68.08	862	70.76	734	76.95	735	93.35
gene1612	Contig_1.4	735959	738853	+	2895	gene		123	4.43	153	3.94	200	4.22	476	9.91	345	8.21	497	10.77	395	8.78	264	8.02	278	7.49	527	8.76	329	7.49	427	7.36	322	6.35	279	7.03	162	4.95
gene1613	Contig_1.4	740824	741459	-	636	gene		3	0.49	1	0.12	1	0.10	1	0.09	2	0.22	2	0.20	1	0.10	2	0.28	1	0.12	2	0.15	1	0.10	1	0.08	0	0.00	0	0.00	2	0.28
gene1614	Contig_1.4	742820	744980	+	2161	gene		25	1.21	29	1.00	13	0.37	110	3.07	40	1.27	65	1.89	86	2.56	87	3.54	95	3.43	47	1.05	23	0.70	38	0.88	23	0.61	62	2.09	17	0.70
gene1615	Contig_1.4	746070	746432	+	363	gene		8	2.30	10	2.06	26	4.38	0	0.00	1	0.19	0	0.00	1	0.18	0	0.00	0	0.00	0	0.00	1	0.18	4	0.55	2	0.31	0	0.00	4	0.97
gene1616	Contig_1.4	747530	748468	+	939	gene		2	0.22	0	0.00	0	0.00	1	0.06	1	0.07	1	0.07	1	0.07	1	0.09	0	0.00	6	0.31	4	0.28	3	0.16	1	0.06	0	0.00	1	0.09
gene1617	Contig_1.1	826850	829049	+	2200	gene		1098	52.02	1739	58.97	1887	52.45	1748	47.91	1754	54.89	1621	46.20	1803	52.72	1053	42.10	982	34.83	3057	66.89	2183	65.44	2871	65.16	3173	82.40	1921	63.71	1900	76.35
gene1618	Contig_1.4	750279	753052	+	2774	gene		15	0.56	26	0.70	24	0.53	43	0.93	40	0.99	51	1.15	38	0.88	23	0.73	28	0.79	61	1.06	50	1.19	50	0.90	45	0.93	35	0.92	26	0.83
gene1619	Contig_1.4	753552	756786	-	3235	gene		89	2.87	212	4.89	211	3.99	271	5.05	185	3.94	250	4.85	330	6.56	221	6.01	274	6.61	518	7.71	312	6.36	240	3.70	160	2.83	143	3.23	140	3.83
gene1620	Contig_1.4	757635	759044	-	1410	gene		40	2.96	62	3.28	116	5.03	81	3.46	105	5.13	77	3.42	77	3.51	18	1.12	35	1.94	44	1.50	244	11.41	93	3.29	88	3.57	140	7.24	51	3.20
gene1621	Contig_1.4	762950	764134	-	1185	gene		737	64.83	1224	77.05	1422	73.38	1717	87.36	1481	86.05	1812	95.89	1687	91.58	519	38.53	652	42.93	2925	118.81	1649	91.77	1481	62.40	1629	78.54	964	59.36	963	71.84
gene1622	Contig_1.4	767833	769313	-	1481	gene		91	6.40	109	5.49	125	5.16	309	12.58	213	9.90	310	13.13	331	14.38	227	13.48	259	13.64	475	15.44	454	20.22	191	6.44	120	4.63	142	7.00	145	8.65
gene1623	Contig_1.4	774400	775980	-	1581	gene		128	8.44	123	5.80	105	4.06	272	10.37	194	8.45	246	9.76	266	10.82	128	7.12	117	5.77	272	8.28	256	10.68	266	8.40	159	5.75	304	14.03	153	8.55
gene1624	Contig_1.4	776492	776935	-	444	gene		8	1.88	14	2.35	13	1.79	28	3.80	19	2.95	21	2.97	34	4.93	16	3.17	24	4.22	48	5.20	39	5.79	20	2.25	12	1.54	10	1.64	4	0.80
gene1625	Contig_1.4	778154	778453	+	300	gene		3	1.04	3	0.75	10	2.04	2	0.40	6	1.38	2	0.42	2	0.43	1	0.29	2	0.52	6	0.96	3	0.66	3	0.50	6	1.14	2	0.49	8	2.36
gene1626	Contig_1.4	780669	782221	+	1553	gene		17	1.14	34	1.63	37	1.46	22	0.85	30	1.33	30	1.21	24	0.99	19	1.08	12	0.60	23	0.71	27	1.15	32	1.03	28	1.03	20	0.94	12	0.68
gene1627	Contig_1.4	783642	784493	+	852	gene		2	0.24	3	0.26	0	0.00	8	0.57	2	0.16	12	0.88	6	0.45	2	0.21	1	0.09	7	0.40	9	0.70	1	0.06	5	0.34	5	0.43	4	0.42
gene1628	Contig_1.1	829671	832788	+	3118	gene		450	15.04	695	16.63	967	18.96	1622	31.37	1242	27.43	1451	29.18	1435	29.61	833	23.50	887	22.20	1740	26.86	1307	27.64	1611	25.80	1188	21.77	1137	26.61	658	18.66
gene1629	Contig_1.4	787181	788062	-	882	gene		1	0.12	2	0.17	4	0.28	14	0.96	12	0.94	18	1.28	22	1.60	19	1.89	17	1.50	39	2.13	16	1.20	2	0.11	5	0.32	7	0.58	2	0.20
gene1630	Contig_1.4	790666	791091	+	426	gene		0	0.00	2	0.35	0	0.00	5	0.71	0	0.00	4	0.59	8	1.21	6	1.24	4	0.73	14	1.58	10	1.55	2	0.23	0	0.00	2	0.34	2	0.42
gene1631	Contig_1.4	793574	794615	+	1042	gene		29	2.90	24	1.72	20	1.17	617	35.70	738	48.76	557	33.52	597	36.86	307	25.92	282	21.12	882	40.74	1126	71.27	57	2.73	53	2.91	370	25.91	42	3.56
gene1632	Contig_1.4	796823	797702	+	880	gene		0	0.00	0	0.00	0	0.00	1	0.07	0	0.00	2	0.14	1	0.07	1	0.10	0	0.00	1	0.05	4	0.30	3	0.17	1	0.06	0	0.00	0	0.00
gene1633	Contig_1.4	799951	800253	+	303	gene		6	2.06	9	2.22	8	1.61	16	3.18	17	3.86	15	3.10	12	2.55	6	1.74	13	3.35	31	4.92	16	3.48	24	3.95	15	2.83	10	2.41	12	3.50
gene1634	Contig_1.4	801065	801445	+	381	gene		0	0.00	1	0.20	0	0.00	1	0.16	0	0.00	3	0.49	1	0.17	0	0.00	0	0.00	5	0.63	1	0.17	4	0.52	1	0.15	0	0.00	0	0.00
gene1635	Contig_1.4	809401	810769	-	1369	gene		145	11.04	192	10.46	238	10.63	252	11.10	272	13.68	202	9.25	224	10.53	113	7.26	114	6.50	334	11.74	265	12.77	429	15.65	440	18.36	256	13.64	248	16.01
gene1636	Contig_1.4	811601	814170	+	2570	gene		112	4.54	177	5.14	299	7.11	204	4.79	237	6.35	201	4.90	181	4.53	136	4.65	113	3.43	275	5.15	204	5.23	432	8.39	358	7.96	175	4.97	206	7.09
gene1637	Contig_1.4	816616	820800	-	4185	gene		322	8.02	490	8.73	830	12.13	1404	20.23	809	13.31	1297	19.43	1273	19.57	696	14.63	722	13.46	1536	17.67	972	15.32	1645	19.63	1047	14.29	1012	17.64	374	7.90
gene1638	Contig_1.4	823611	825571	+	1961	gene		387	20.57	603	22.94	768	23.95	970	29.82	889	31.21	933	29.83	884	29.00	407	18.26	466	18.54	851	20.89	747	25.12	1148	29.23	1125	32.77	893	33.23	660	29.75
gene1639	Contig_1.1	106603	108123	-	1521	gene		117	8.02	189	9.27	248	9.97	223	8.84	144	6.52	207	8.53	180	7.61	116	6.71	178	9.13	268	8.48	171	7.41	378	12.41	320	12.02	277	13.29	175	10.17
gene1640	Contig_1.1	834295	836151	-	1857	gene		4	0.22	3	0.12	3	0.10	234	7.60	304	11.27	229	7.73	291	10.08	184	8.72	140	5.88	362	9.38	858	30.47	3	0.08	2	0.06	12	0.47	3	0.14
gene1641	Contig_1.4	826953	828465	+	1513	gene		452	31.14	742	36.58	462	18.67	718	28.61	707	32.17	786	32.58	749	31.84	325	18.90	476	24.55	729	23.19	593	25.85	650	21.45	584	22.05	497	23.97	371	21.68
gene1642	Contig_1.4	830727	832867	-	2141	gene		11	0.54	22	0.77	40	1.14	33	0.93	59	1.90	53	1.55	29	0.87	23	0.94	37	1.35	121	2.72	69	2.13	37	0.86	21	0.56	44	1.50	17	0.70
gene1643	Contig_1.4	838056	839444	+	1389	gene		53	3.98	56	3.01	55	2.42	196	8.51	143	7.09	174	7.86	204	9.45	97	6.14	70	3.93	292	10.12	124	5.89	149	5.36	96	3.95	108	5.67	78	4.96
gene1644	Contig_1.4	841231	841722	-	492	gene		1	0.21	2	0.30	8	0.99	3	0.37	3	0.42	0	0.00	3	0.39	3	0.54	2	0.32	5	0.49	3	0.40	8	0.81	2	0.23	0	0.00	6	1.08
gene1645	Contig_1.4	844767	845504	+	738	gene		5	0.71	4	0.40	3	0.25	24	1.96	26	2.43	23	1.95	14	1.22	8	0.95	12	1.27	32	2.09	19	1.70	24	1.62	19	1.47	12	1.19	23	2.76
gene1646	Contig_1.4	846335	847914	-	1580	gene		573	37.80	976	46.08	844	32.66	1136	43.35	955	41.62	1161	46.08	1075	43.77	683	38.03	862	42.57	1836	55.93	1336	55.76	1161	36.69	998	36.09	923	42.63	672	37.60
gene1647	Contig_1.4	848254	849121	+	868	gene		154	18.49	210	18.05	283	19.94	332	23.06	275	21.81	315	22.76	278	20.60	179	18.14	220	19.78	298	16.53	233	17.70	266	15.30	247	16.26	217	18.24	143	14.56
gene1648	Contig_1.4	849311	850467	-	1157	gene		3753	338.10	4620	297.88	4943	261.23	6056	315.60	5525	328.79	5918	320.74	5291	294.17	5804	441.27	6471	436.37	7579	315.31	5474	312.02	7560	326.26	6817	336.61	7337	462.71	5222	398.98
gene1649	Contig_1.4	851308	853480	-	2173	gene		715	34.30	920	31.58	995	28.00	2038	56.55	2924	92.65	1816	52.40	1783	52.78	1051	42.55	1203	43.19	2141	47.43	1756	53.29	1608	36.95	1260	33.13	2528	84.89	860	34.99
gene1650	Contig_1.4	854302	854953	-	652	gene		431	68.90	510	58.35	540	50.64	934	86.37	1078	113.84	892	85.79	906	89.39	496	66.92	514	61.51	1111	82.02	822	83.14	742	56.82	702	61.51	706	79.01	534	72.40
gene1651	Contig_1.1	836791	838293	+	1503	gene		1	0.07	1	0.05	4	0.16	866	34.74	1369	62.71	801	33.42	952	40.75	533	31.19	507	26.32	1053	33.72	2596	113.91	10	0.33	4	0.15	32	1.55	1	0.06
gene1652	Contig_1.4	855511	856627	+	1117	gene		257	23.98	385	25.71	563	30.82	661	35.68	634	39.08	752	42.22	663	38.18	391	30.79	414	28.92	893	38.48	758	44.75	712	31.83	627	32.07	484	31.62	420	33.24
gene1653	Contig_1.4	856851	857867	-	1017	gene		110	11.27	136	9.98	81	4.87	264	15.65	270	18.28	223	13.75	247	15.62	181	15.66	159	12.20	368	17.42	421	27.30	244	11.98	246	13.82	182	13.06	173	15.04
gene1654	Contig_1.4	860067	861670	-	1604	gene		1498	97.34	1888	87.81	2243	85.51	336	12.63	1291	55.42	299	11.69	307	12.31	179	9.82	370	18.00	373	11.19	1484	61.02	5997	186.68	8922	317.78	2874	130.74	3523	194.16
gene1655	Contig_1.4	867691	868963	+	1273	gene		109	8.92	163	9.55	150	7.21	273	12.93	224	12.12	309	15.22	242	12.23	151	10.43	158	9.68	278	10.51	292	15.13	338	13.26	280	12.57	261	14.96	203	14.10
gene1656	Contig_1.4	869901	871190	-	1290	gene		268	21.65	341	19.72	502	23.80	631	29.49	554	29.57	605	29.41	577	28.77	407	27.75	424	25.64	776	28.96	705	36.04	795	30.77	714	31.62	622	35.18	355	24.33
gene1657	Contig_1.4	872391	873570	+	1180	gene		214	18.90	351	22.19	412	21.35	822	42.00	697	40.67	718	38.16	657	35.82	258	19.23	301	19.90	561	22.88	465	25.99	720	30.47	671	32.49	587	36.30	403	30.19
gene1658	Contig_1.4	874384	876251	-	1868	gene		51	2.85	67	2.68	97	3.18	253	8.17	198	7.30	252	8.46	223	7.68	102	4.80	106	4.43	264	6.80	177	6.25	260	6.95	279	8.53	198	7.73	108	5.11
gene1659	Contig_1.4	876889	877854	-	966	gene		642	69.27	875	67.57	850	53.80	1407	87.82	1175	83.75	1358	88.15	1369	91.16	974	88.69	1186	95.79	1509	75.19	1266	86.43	1438	74.33	1188	70.26	1337	100.99	875	80.07
gene1660	Contig_1.4	881244	883162	+	1919	gene		168	9.13	256	9.95	220	7.01	78	2.45	74	2.66	84	2.74	95	3.18	44	2.02	60	2.44	94	2.36	76	2.61	310	8.07	245	7.29	128	4.87	179	8.25
gene1661	Contig_1.4	884770	888704	-	3935	gene		115	3.05	181	3.43	271	4.21	431	6.60	213	3.73	402	6.41	463	7.57	438	9.79	459	9.10	652	7.98	332	5.56	384	4.87	241	3.50	228	4.23	108	2.43
gene1662	Contig_1.1	844753	848426	-	3674	gene		403	11.43	575	11.68	882	14.68	1203	19.74	832	15.59	1108	18.91	1092	19.12	616	14.75	650	13.80	1423	18.64	1000	17.95	1148	15.60	999	15.53	825	16.38	494	11.89
gene1663	Contig_1.4	890842	893764	+	2923	gene		332	11.84	481	12.28	556	11.63	1138	23.47	951	22.40	1030	22.10	995	21.90	1026	30.88	1040	27.76	1706	28.09	1065	24.03	932	15.92	705	13.78	967	24.14	397	12.01
gene1664	Contig_1.4	895141	897110	+	1970	gene		2348	124.23	4446	168.36	5236	162.52	8540	261.38	7561	264.26	9468	301.37	7645	249.64	4441	198.30	4852	192.16	12656	309.24	7186	240.56	6031	152.86	7453	216.14	3689	136.64	2987	134.04
gene1665	Contig_1.4	898598	899461	-	864	gene		59	7.12	86	7.43	99	7.01	166	11.58	85	6.77	173	12.56	175	13.03	68	6.92	94	8.49	213	11.87	107	8.17	120	6.93	106	7.01	69	5.83	84	8.59
gene1666	Contig_1.4	900538	901002	-	465	gene		46	10.31	53	8.50	44	5.79	97	12.58	83	12.29	78	10.52	103	14.25	47	8.89	46	7.72	119	12.32	68	9.64	72	7.73	62	7.62	75	11.77	62	11.79
gene1667	Contig_1.4	901570	902728	+	1159	gene		430	38.67	509	32.76	401	21.16	600	31.21	502	29.82	547	29.59	533	29.58	258	19.58	288	19.39	734	30.48	477	27.14	1120	48.25	867	42.74	823	51.81	747	56.98
gene1668	Contig_1.4	903731	905813	-	2083	gene		12	0.60	10	0.36	16	0.47	17	0.49	21	0.69	29	0.87	14	0.43	7	0.30	5	0.19	21	0.49	9	0.28	25	0.60	12	0.33	28	0.98	18	0.76
gene1669	Contig_1.4	907108	907844	+	737	gene		1064	150.48	1492	151.02	1925	159.71	1790	146.44	2012	187.96	1627	138.43	1670	145.76	832	99.30	908	96.12	2964	193.59	2166	193.82	1552	105.15	1518	117.67	3866	382.75	1284	154.01
gene1670	Contig_1.4	908839	909822	-	984	gene		3496	370.32	3306	250.64	3353	208.36	6469	396.39	6360	445.02	4595	292.82	5505	359.88	2350	210.08	2089	165.64	3082	150.76	3784	253.61	4479	227.28	4051	235.20	5134	380.70	3801	341.47
gene1671	Contig_1.4	910097	911855	+	1759	gene		325	19.26	416	17.64	420	14.60	694	23.79	681	26.66	649	23.14	657	24.03	381	19.05	378	16.77	802	21.95	560	21.00	689	19.56	627	20.36	440	18.25	504	25.33
gene1672	Contig_1.4	912712	913254	-	543	gene		39	7.49	48	6.59	50	5.63	72	7.99	88	11.16	62	7.16	54	6.40	26	4.21	29	4.17	88	7.80	61	7.41	80	7.36	67	7.05	44	5.91	57	9.28
gene1673	Contig_1.1	848660	849426	+	767	gene		498	67.68	726	70.61	729	58.12	898	70.59	918	82.41	776	63.44	807	67.68	367	42.09	353	35.91	951	59.68	774	66.55	841	54.75	617	45.96	525	49.94	501	57.74
gene1674	Contig_1.4	913599	915527	+	1929	gene		295	15.94	372	14.39	415	13.15	1041	32.54	1084	38.69	876	28.48	848	28.28	355	16.19	352	14.24	865	21.58	673	23.01	941	24.36	1003	29.71	1036	39.19	498	22.82
gene1675	Contig_1.4	916128	916813	-	686	gene		4264	647.88	5679	617.57	10735	956.87	2296	201.80	2389	239.78	3144	287.39	3125	293.04	3420	438.54	4864	553.21	2270	159.28	1361	130.84	2472	179.93	2132	177.55	1086	115.51	1732	223.19
gene1676	Contig_1.4	917887	919680	+	1794	gene		169	9.82	259	10.77	467	15.92	240	8.07	205	7.87	296	10.35	314	11.26	188	9.22	315	13.70	345	9.26	163	5.99	296	8.24	186	5.92	153	6.22	130	6.41
gene1677	Contig_1.4	920121	922094	-	1974	gene		206	10.88	263	9.94	241	7.47	524	16.01	378	13.18	515	16.36	418	13.62	230	10.25	247	9.76	633	15.44	329	10.99	487	12.32	540	15.63	388	14.34	349	15.63
gene1678	Contig_1.4	922312	923372	+	1061	gene		202	19.84	258	18.14	257	14.81	730	41.48	687	44.58	668	39.48	640	38.80	230	19.07	241	17.72	683	30.99	385	23.93	625	29.41	485	26.12	456	31.36	323	26.91
gene1679	Contig_1.4	924332	927442	-	3111	gene		86	2.88	118	2.83	139	2.73	494	9.57	315	6.97	434	8.75	371	7.67	80	2.26	111	2.78	284	4.39	139	2.95	395	6.34	287	5.27	256	6.00	126	3.58
gene1680	Contig_1.4	928987	929871	+	885	gene		141	16.61	137	11.55	140	9.67	192	13.08	240	18.67	183	12.97	199	14.46	82	8.15	97	8.55	236	12.84	130	9.69	261	14.73	246	15.88	168	13.85	172	17.18
gene1681	Contig_1.4	930407	932667	-	2261	gene		2493	114.93	3603	118.88	1128	30.51	620	16.53	430	13.09	534	14.81	498	14.17	336	13.07	412	14.22	766	16.31	487	14.20	36853	813.86	32740	827.26	3907	126.09	8696	339.99
gene1682	Contig_1.4	935139	937196	+	2058	gene		353	17.88	531	19.25	534	15.87	908	26.60	775	25.93	856	26.08	869	27.16	573	24.49	583	22.10	1330	31.11	960	30.76	775	18.80	538	14.93	499	17.69	460	19.76
gene1683	Contig_1.4	939097	939570	-	474	gene		162	35.62	185	29.12	177	22.83	273	34.73	329	47.79	231	30.56	267	36.24	126	23.38	120	19.75	307	31.18	220	30.61	233	24.54	261	31.46	243	37.41	188	35.06
gene1684	Contig_1.1	849515	849808	+	294	gene		117	41.48	126	31.97	129	26.83	199	40.81	204	47.77	148	31.57	159	34.79	85	25.43	103	27.33	250	40.93	192	43.07	182	30.91	157	30.51	160	39.71	107	32.17
gene1685	Contig_1.4	941314	945093	+	3780	gene		319	8.80	580	11.45	915	14.80	1324	21.12	606	11.04	1257	20.85	1131	19.25	1076	25.04	1367	28.22	2278	29.01	1005	17.53	1583	20.91	849	12.83	867	16.74	381	8.91
gene1686	Contig_1.4	953480	954336	+	857	gene		718	87.33	959	83.48	1145	81.70	1610	113.27	1588	127.58	1710	125.12	1546	116.04	884	90.74	1097	99.87	1930	108.40	1636	125.90	1527	88.97	1310	87.33	1241	105.66	872	89.95
gene1687	Contig_1.4	956640	965694	+	9055	gene		981	11.29	1404	11.57	2616	17.67	2832	18.86	854	6.49	2288	15.84	2511	17.84	2165	21.03	2347	20.22	4058	21.57	2465	17.95	6273	34.59	2745	17.32	2769	22.31	1312	12.81
gene1688	Contig_1.4	970007	970984	-	978	gene		253	26.96	401	30.59	426	26.63	559	34.46	613	43.16	574	36.80	536	35.26	261	23.48	342	27.28	717	35.29	732	49.36	365	18.64	292	17.06	259	19.32	244	22.05
gene1689	Contig_1.4	971488	972410	+	923	gene		146	16.49	201	16.25	166	11.00	319	20.84	300	22.38	318	21.60	303	21.12	102	9.72	112	9.47	449	23.42	255	18.22	324	17.53	254	15.72	291	23.00	193	18.48
gene1690	Contig_1.4	973154	974819	-	1666	gene		21	1.31	37	1.66	60	2.20	110	3.98	68	2.81	112	4.22	123	4.75	44	2.32	47	2.20	119	3.44	47	1.86	137	4.11	104	3.57	83	3.64	48	2.55
gene1691	Contig_1.4	976743	977514	+	772	gene		5376	725.85	5907	570.80	11086	878.07	5555	433.85	6399	570.70	6536	530.89	5924	493.62	5370	611.88	6897	697.04	6103	380.53	4093	349.65	4356	281.74	4606	340.86	2775	262.28	2537	290.51
gene1692	Contig_1.4	980886	981706	+	821	gene		124	15.74	192	17.45	266	19.81	429	31.51	370	31.03	370	28.26	348	27.27	135	14.46	156	14.83	374	21.93	268	21.53	422	25.67	382	26.58	255	22.66	237	25.52
gene1693	Contig_1.4	983581	984066	+	486	gene		4	0.86	4	0.61	10	1.26	10	1.24	5	0.71	15	1.94	16	2.12	6	1.09	8	1.28	19	1.88	8	1.09	18	1.85	5	0.59	9	1.35	9	1.64
gene1694	Contig_1.4	984813	986330	-	1518	gene		146	10.03	179	8.80	195	7.85	468	18.59	364	16.51	465	19.21	412	17.46	273	15.82	302	15.52	405	12.84	383	16.64	365	12.01	322	12.12	235	11.30	232	13.51
gene1695	Contig_1.1	854147	856257	+	2111	gene		32	1.58	33	1.17	37	1.07	16	0.46	14	0.46	20	0.59	16	0.49	10	0.42	4	0.15	19	0.43	11	0.34	61	1.44	28	0.76	29	1.00	30	1.26
gene1696	Contig_1.4	989428	990125	-	698	gene		352	52.56	431	46.06	592	51.86	689	59.52	768	75.76	656	58.93	644	59.35	303	38.19	328	36.66	550	37.93	456	43.08	771	55.15	740	60.57	574	60.00	534	67.63
gene1697	Contig_1.4	990633	991834	-	1202	gene		488	42.32	676	41.95	668	33.98	1008	50.56	886	50.75	980	51.12	905	48.43	577	42.23	594	38.56	1156	46.29	957	52.51	903	37.51	775	36.84	655	39.76	598	43.98
gene1698	Contig_1.4	992850	996043	+	3194	gene		440	14.36	640	14.95	1005	19.24	1238	23.37	1010	21.77	1221	23.97	1148	23.12	647	17.82	781	19.08	1414	21.31	1127	23.27	1638	25.61	1206	21.57	1127	25.75	543	15.03
gene1699	Contig_1.4	996745	997980	+	1236	gene		11	0.93	13	0.78	17	0.84	44	2.15	26	1.45	24	1.22	22	1.14	22	1.57	13	0.82	42	1.64	28	1.49	23	0.93	24	1.11	30	1.77	23	1.64
gene1700	Contig_1.4	999327	1001696	+	2370	gene		89	3.91	81	2.55	95	2.45	66	1.68	45	1.31	58	1.53	51	1.38	59	2.19	60	1.98	84	1.71	76	2.11	241	5.08	144	3.47	197	6.07	202	7.53
gene1701	Contig_1.4	1003342	1007816	-	4475	gene		413	9.62	618	10.30	916	12.52	1840	24.79	1110	17.08	1689	23.67	1812	26.05	953	18.73	1048	18.27	2159	23.22	1374	20.25	1850	20.64	1229	15.69	1272	20.74	514	10.15
gene1702	Contig_1.4	1010142	1014037	+	3896	gene		271	7.25	461	8.83	371	5.82	716	11.08	501	8.85	645	10.38	678	11.19	598	13.50	608	12.18	1149	14.20	623	10.55	852	10.92	562	8.24	647	12.12	496	11.25
gene1703	Contig_1.4	1015139	1016076	-	938	gene		1036	115.12	1318	104.82	2531	164.99	1859	119.50	1692	124.20	2091	139.79	1713	117.48	1264	118.54	1435	119.36	2425	124.44	1921	135.06	2149	114.40	1906	116.09	1438	111.86	1248	117.62
gene1704	Contig_1.4	1017486	1017725	-	240	gene		0	0.00	1	0.31	0	0.00	3	0.75	5	1.43	3	0.78	0	0.00	0	0.00	0	0.00	2	0.40	1	0.27	0	0.00	1	0.24	0	0.00	2	0.74
gene1705	Contig_1.4	1021694	1023412	-	1719	gene		1	0.06	2	0.09	2	0.07	487	17.08	567	22.71	468	17.07	537	20.10	405	20.72	386	17.52	632	17.70	1306	50.10	3	0.09	2	0.07	30	1.27	4	0.21
gene1706	Contig_1.1	857427	860348	-	2922	gene		517	18.44	739	18.87	602	12.60	1063	21.93	782	18.43	998	21.42	1041	22.92	1127	33.93	1146	30.60	2152	35.45	1192	26.90	726	12.41	362	7.08	828	20.68	464	14.04
gene1707	Contig_1.4	1023912	1024940	+	1029	gene		7	0.71	1	0.07	6	0.36	2246	131.60	3065	205.08	2033	123.89	2169	135.59	1849	158.06	1632	123.74	2226	104.13	5597	358.71	19	0.92	21	1.17	92	6.52	6	0.52
gene1708	Contig_1.4	1025756	1028647	-	2892	gene		1	0.04	0	0.00	0	0.00	402	8.38	36	0.86	295	6.40	328	7.30	5	0.15	18	0.49	25	0.42	4	0.09	0	0.00	0	0.00	2	0.05	0	0.00
gene1709	Contig_1.4	1032379	1033143	+	765	gene		10	1.36	9	0.88	10	0.80	29	2.29	20	1.80	35	2.87	24	2.02	12	1.38	12	1.22	45	2.83	33	2.84	17	1.11	11	0.82	19	1.81	10	1.16
gene1710	Contig_1.4	1036651	1038000	+	1350	gene		13	1.00	12	0.66	20	0.91	300	13.40	362	18.46	276	12.82	241	11.48	67	4.37	81	4.68	369	13.16	121	5.91	19	0.70	5	0.21	163	8.81	9	0.59
gene1711	Contig_1.4	1038819	1040094	+	1276	gene		151	12.33	222	12.98	228	10.93	308	14.55	288	15.54	277	13.61	272	13.71	91	6.27	109	6.66	195	7.36	156	8.06	677	26.49	847	37.92	517	29.56	355	24.59
gene1712	Contig_1.4	1041239	1042446	+	1208	gene		477	41.16	812	50.14	662	33.51	645	32.19	393	22.40	673	34.93	686	36.53	464	33.79	510	32.94	1111	44.27	636	34.72	875	36.17	595	28.14	439	26.52	485	35.49
gene1713	Contig_1.4	1043792	1045392	+	1601	gene		31	2.02	64	2.98	79	3.02	84	3.16	38	1.63	78	3.06	73	2.93	55	3.02	52	2.53	122	3.67	51	2.10	141	4.40	96	3.43	80	3.65	51	2.82
gene1714	Contig_1.4	1045935	1047686	-	1752	gene		246	14.64	333	14.18	347	12.11	563	19.38	450	17.68	540	19.33	491	18.03	290	14.56	315	14.03	658	18.08	463	17.43	625	17.81	452	14.74	381	15.87	314	15.84
gene1715	Contig_1.4	1047938	1048813	+	876	gene		272	32.36	366	31.17	298	20.80	488	33.59	406	31.91	511	36.58	556	40.83	422	42.38	422	37.59	1191	65.44	539	40.58	343	19.55	177	11.54	334	27.82	238	24.02
gene1716	Contig_1.4	1049087	1049835	-	749	gene		129	17.95	190	18.92	151	12.33	256	20.61	193	17.74	258	21.60	225	19.32	159	18.67	139	14.48	346	22.24	225	19.81	285	19.00	271	20.67	257	25.04	181	21.36
gene1717	Contig_1.1	860581	860952	+	372	gene		414	116.00	481	96.46	461	75.78	465	75.37	514	95.13	405	68.27	459	79.37	266	62.90	237	49.71	614	79.45	405	71.80	658	88.32	465	71.41	432	84.73	430	102.18
